,amp_sig,fpr_ind,fpr_comb1,fpr_comb2
0,0.0,[0.   0.   0.04 0.   0.01 0.01],0.0,0.0
1,0.1,[0.015 0.01  0.065 0.065 0.02  0.005],0.08,0.08
2,0.2,[0.11333333 0.15333333 0.17333333 0.28       0.11333333 0.02333333],0.38,0.38
3,0.30000000000000004,[0.2725 0.2875 0.3075 0.4575 0.175  0.08  ],0.535,0.535
4,0.4,[0.402 0.416 0.442 0.566 0.244 0.126],0.628,0.628
5,0.5,[0.50166667 0.51       0.535      0.63833333 0.33       0.20166667],0.69,0.69
6,0.6000000000000001,[0.57285714 0.58       0.60142857 0.69       0.41571429 0.27571429],0.7342857142857143,0.7342857142857143
7,0.7000000000000001,[0.62625 0.6325  0.65125 0.72875 0.485   0.34   ],0.7675,0.7675
8,0.8,[0.66777778 0.67333333 0.69       0.75888889 0.54222222 0.40333333],0.7933333333333333,0.7933333333333333
9,0.9,[0.701 0.706 0.721 0.783 0.588 0.46 ],0.814,0.814
